,breeds,rank2013,rank2014,rank2015,rank2016
0,Retrievers (Labrador),1,1,1,1
1,German Shepherd Dogs,2,2,2,2
2,Retrievers (Golden),3,3,3,3
3,Bulldogs,5,4,4,4
4,Beagles,4,5,5,5
5,French Bulldogs,11,9,6,6
6,Poodles,8,7,8,7
7,Rottweilers,9,10,9,8
8,Yorkshire Terriers,6,6,7,9
9,Boxers,7,8,10,10
10,Pointers (German Shorthaired),13,12,11,11
11,Siberian Huskies,14,13,12,12
12,Dachshunds,10,11,13,13
13,Great Danes,16,15,15,14
14,Doberman Pinschers,12,14,14,15
15,Australian Shepherds,20,18,17,16
16,Miniature Schnauzers,17,16,16,17
17,Pembroke Welsh Corgis,24,22,20,18
18,Cavalier King Charles Spaniels,18,19,18,19
19,Shih Tzu,15,17,19,20
20,Boston Terriers,23,23,22,21
21,Pomeranians,19,20,21,22
22,Havanese,25,25,24,23
23,Shetland Sheepdogs,21,21,23,24
24,Brittanys,30,27,26,25
25,Spaniels (English Springer),28,28,27,26
26,Bernese Mountain Dogs,32,32,29,27
27,Mastiffs,26,26,25,28
28,Spaniels (Cocker),29,30,30,29
29,Chihuahuas,22,24,28,30
30,Vizslas,34,34,32,31
31,Pugs,31,33,33,32
32,Maltese,27,29,31,33
33,Weimaraners,33,35,34,34
34,Newfoundlands,37,37,37,35
